AtomicNumber,Element,Symbol,AtomicWeight,Density,Isotopes,DiscoveryYear
1,Hydrogen,H,1.00794,0.00008988,3,1766
2,Helium,He,4.002602,0.0001785,5,1868
3,Lithium,Li,6.941,0.534,5,1817
4,Beryllium,Be,9.012182,1.85,6,1798
5,Boron,B,10.811,2.34,6,1808
6,Carbon,C,12.0107,2.267,7,0
7,Nitrogen,N,14.0067,0.0012506,8,1772
8,Oxygen,O,15.9994,0.001429,8,1774
9,Fluorine,F,18.9984032,0.001696,6,1886
10,Neon,Ne,20.1797,0.0008999,8,1898
11,Sodium,Na,22.98976928,0.971,7,1807
12,Magnesium,Mg,24.305,1.738,8,1755
13,Aluminum,Al,26.9815386,2.698,8,1827
14,Silicon,Si,28.0855,2.3296,8,1824
15,Phosphorus,P,30.973762,1.82,7,1669
16,Sulfur,S,32.065,2.067,10,0
17,Chlorine,Cl,35.453,0.003214,11,1774
18,Argon,Ar,39.948,0.0017837,8,1894
19,Potassium,K,39.0983,0.862,10,1807
20,Calcium,Ca,40.078,1.54,14,1808
21,Scandium,Sc,44.955912,2.989,15,1878
22,Titanium,Ti,47.867,4.54,9,1791
23,Vanadium,V,50.9415,6.11,9,1801
24,Chromium,Cr,51.9961,7.15,9,1797
25,Manganese,Mn,54.938045,7.44,11,1774
26,Iron,Fe,55.845,7.874,10,1735
27,Cobalt,Co,58.933195,8.86,14,1735
28,Nickel,Ni,58.6934,8.912,11,1751
29,Copper,Cu,63.546,8.96,11,0
30,Zinc,Zn,65.38,7.134,15,1875
31,Gallium,Ga,69.723,5.907,14,1875
32,Germanium,Ge,72.64,5.323,17,1886
33,Arsenic,As,74.9216,5.776,14,1250
34,Selenium,Se,78.96,4.809,20,1817
35,Bromine,Br,79.904,3.122,19,1826
36,Krypton,Kr,83.798,0.003733,23,1898
37,Rubidium,Rb,85.4678,1.532,20,1861
38,Strontium,Sr,87.62,2.64,18,1808
39,Yttrium,Y,88.90585,4.469,21,1794
40,Zirconium,Zr,91.224,6.506,20,1789
41,Niobium,Nb,92.90638,8.57,24,1801
42,Molybdenum,Mo,95.96,10.22,20,1778
43,Technetium,Tc,98,11.5,23,1937
44,Ruthenium,Ru,101.07,12.37,16,1844
45,Rhodium,Rh,102.9055,12.41,20,1803
46,Palladium,Pd,106.42,12.02,21,1803
47,Silver,Ag,107.8682,10.501,27,0
48,Cadmium,Cd,112.411,8.69,22,1817
49,Indium,In,114.818,7.31,34,1863
50,Tin,Sn,118.71,7.287,28,0
51,Antimony,Sb,121.76,6.685,29,0
52,Tellurium,Te,127.6,6.232,29,1782
53,Iodine,I,126.90447,4.93,24,1811
54,Xenon,Xe,131.293,0.005887,31,1898
55,Cesium,Cs,132.9054519,1.873,22,1860
56,Barium,Ba,137.327,3.594,25,1808
57,Lanthanum,La,138.90547,6.145,19,1839
58,Cerium,Ce,140.116,6.77,19,1803
59,Praseodymium,Pr,140.90765,6.773,15,1885
60,Neodymium,Nd,144.242,7.007,16,1885
61,Promethium,Pm,145,7.26,14,1945
62,Samarium,Sm,150.36,7.52,17,1879
63,Europium,Eu,151.964,5.243,21,1901
64,Gadolinium,Gd,157.25,7.895,17,1880
65,Terbium,Tb,158.92535,8.229,24,1843
66,Dysprosium,Dy,162.5,8.55,21,1886
67,Holmium,Ho,164.93032,8.795,29,1878
68,Erbium,Er,167.259,9.066,16,1843
69,Thulium,Tm,168.93421,9.321,18,1879
70,Ytterbium,Yb,173.054,6.965,16,1878
71,Lutetium,Lu,174.9668,9.84,22,1907
72,Hafnium,Hf,178.49,13.31,17,1923
73,Tantalum,Ta,180.94788,16.654,19,1801
74,Wolfram,W,183.84,19.25,22,1783
75,Rhenium,Re,186.207,21.02,21,1925
76,Osmium,Os,190.23,22.61,19,1803
77,Iridium,Ir,192.217,22.56,25,1804
78,Platinum,Pt,195.084,21.46,32,1735
79,Gold,Au,196.966569,19.282,21,0
80,Mercury,Hg,200.59,13.5336,26,0
81,Thallium,Tl,204.3833,11.85,28,1861
82,Lead,Pb,207.2,11.342,29,0
83,Bismuth,Bi,208.9804,9.807,19,1753
84,Polonium,Po,210,9.32,34,1898
85,Astatine,At,210,7,21,1940
86,Radon,Rn,222,0.00973,20,1900
87,Francium,Fr,223,1.87,21,1939
88,Radium,Ra,226,5.5,15,1898
89,Actinium,Ac,227,10.07,11,1899
90,Thorium,Th,232.03806,11.72,12,1828
91,Protactinium,Pa,231.03588,15.37,14,1917
92,Uranium,U,238.02891,18.95,15,1841
93,Neptunium,Np,237,20.45,153,1940
94,Plutonium,Pu,244,19.84,163,1940
95,Americium,Am,243,13.69,133,1944
96,Curium,Cm,247,13.51,133,1944
97,Berkelium,Bk,247,14.79,83,1949
98,Californium,Cf,251,15.1,123,1950
99,Einsteinium,Es,252,13.5,123,1952
